R00001	polyphosphate polyphosphohydrolase; Polyphosphate + n H2O <=> (n+1) Oligophosphate
R08544	D-galactose:NAD+ 1-oxidoreductase; D-Galactose + NAD+ <=> D-Galactono-1,5-lactone + NADH + H+
R08545	(2E,6E)-farnesyl-diphosphate diphosphate-lyase (germacrene-B-forming); trans,trans-Farnesyl diphosphate <=> Germacrene B + Diphosphate
R08546	(2E,6E)-farnesyl-diphosphate diphosphate-lyase (beta-selinene-forming); trans,trans-Farnesyl diphosphate <=> beta-Selinene + Diphosphate
R08547	S-adenosyl-L-methionine:L-tryptophan 2-C-methyltransferase; S-Adenosyl-L-methionine + L-Tryptophan <=> S-Adenosyl-L-homocysteine + L-2-Methyltryptophan
R08548	D-Fructose 1-phosphate + H2O <=> D-Fructose + Orthophosphate
R08549	2-oxoglutarate:NAD+ 2-oxidoreductase (CoA-succinylating); 2-oxoglutarate dehydrogenase complex; 2-Oxoglutarate + CoA + NAD+ <=> Succinyl-CoA + CO2 + NADH + H+
R08550	protein N6-(dihydrolipoyl)lysine:NAD+ oxidoreductase; [Protein]-N6-[(R)-dihydrolipoyl]-L-lysine + NAD+ <=> Protein N6-(lipoyl)lysine + NADH + H+
R08551	cytochrome P-450 reductase; [Oxidized NADPH---hemoprotein reductase] + NADPH + H+ <=> [Reduced NADPH---hemoprotein reductase] + NADP+
R08553	AMP,sulfite:acceptor oxidoreductase (adenosine-5'-phosphosulfate-forming); AMP + Sulfite + FAD <=> Adenylyl sulfate + FADH2
R08555	(R)-lactate hydro-lyase (adding N-acetyl-D-glucosamine 6-phosphate; N-acetylmuramate 6-phosphate-forming); (R)-Lactate + N-Acetyl-D-glucosamine 6-phosphate <=> N-Acetylmuramic acid 6-phosphate + H2O
R08557	Choline + NAD+ <=> Betaine aldehyde + NADH + H+
R08558	Choline + NADP+ <=> Betaine aldehyde + NADPH + H+
R08559	protein-N(pi)-phosphohistidine:N-acetylmuramate 6-phosphotransferase; N-Acetylmuramate + Protein N(pi)-phospho-L-histidine <=> N-Acetylmuramic acid 6-phosphate + Protein histidine
R08560	cinchoninone epimerase; Cinchonidinone <=> Cinchoninone
R08561	cinchoninone:NADPH oxidoreductase (epimerizing); Cinchoninone + NADPH + H+ <=> Cinchonidine + NADP+
R08562	quinidinone:NADPH oxidoreductase (epimerizing); Quinidinone + NADPH + H+ <=> Quinine + NADP+
R08563	cinchonidinone:NADPH oxidoreductase; Cinchonidinone + NADPH + H+ <=> Cinchonidine + NADP+
R08564	Corynantheal <=> Cinchonidinone
R08566	4-methyl-2-oxopentanoate:ferredoxin oxidoreductase (decarboxylating; CoA-3-methylbutanoylating); 4-Methyl-2-oxopentanoate + CoA + 2 Oxidized ferredoxin <=> 3-Methylbutanoyl-CoA + CO2 + 2 Reduced ferredoxin + H+
R08567	(S)-3-methyl-2-oxopentanoate:ferredoxin oxidoreductase (decarboxylating; CoA-2-methylbutanoylating); (S)-3-Methyl-2-oxopentanoic acid + CoA + 2 Oxidized ferredoxin <=> (S)-2-Methylbutanoyl-CoA + CO2 + 2 Reduced ferredoxin + H+
R08568	L-aspartate 4-semialdehyde:1-deoxy-D-threo-hexo-2,5-diulose 6-phosphate methylglyoxaltransferase; L-Aspartate 4-semialdehyde + 6-Deoxy-5-ketofructose 1-phosphate <=> 2-Amino-3,7-dideoxy-D-threo-hept-6-ulosonic acid + Hydroxypyruvaldehyde phosphate
R08569	2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate:NAD+ oxidoreductase (deaminating); 2-Amino-3,7-dideoxy-D-threo-hept-6-ulosonic acid + H2O + NAD+ <=> 3-Dehydroquinate + Ammonia + NADH + H+
R08570	2-dehydro-3-deoxy-D-gluconate D-glyceraldehyde-lyase (pyruvate-forming); 2-Dehydro-3-deoxy-D-gluconate <=> D-Glyceraldehyde + Pyruvate
R08571	glyceraldehyde ferredoxin oxidoreductase; D-Glyceraldehyde + H2O + Oxidized ferredoxin <=> D-Glycerate + H+ + Reduced ferredoxin
R08572	ATP:(R)-glycerate 2-phosphotransferase; D-Glycerate + ATP <=> 2-Phospho-D-glycerate + ADP
R08573	D-threitol:NADP+ oxidoreductase; D-Threitol + NADP+ <=> D-Erythrulose + NADPH + H+
R08574	CTP:riboflavin 5'-phosphotransferase; CTP + Riboflavin <=> CDP + FMN
R08575	sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase; Sedoheptulose 7-phosphate + D-Glyceraldehyde 3-phosphate <=> D-Erythrose 4-phosphate + D-Fructose 6-phosphate
R08576	O-phospho-L-serine:tRNA(Cys) ligase (AMP-forming); O-Phospho-L-serine + tRNA(Cys) + ATP <=> O-Phosphoseryl-tRNA(Cys) + Diphosphate + AMP
R08577	O-phospho-L-seryl-tRNACys:hydrogen sulfide 2-aminopropanoate transferase; O-phosphoseryl-tRNA(Cys):hydrogen-sulfide 2-amino-2-[tRNA(Cys)-carbonyl]ethyltransferase; O-Phosphoseryl-tRNA(Cys) + Hydrogen sulfide <=> L-Cysteinyl-tRNA(Cys) + Orthophosphate
R08578	L-pyrrolysine:tRNA(Pyl) ligase (AMP-forming); ATP + L-Pyrrolysine + tRNA(Pyl) <=> AMP + Diphosphate + L-Pyrrolysyl-tRNA(Pyl)
R08579	parathion oxidoreductase; Parathion <=> Paraoxon
R08583	dTDP-4-amino-4,6-dideoxy-D-glucose ammonia-lyase (dTDP-3-oxo-4,6-dideoxy-D-glucose-forming); dTDP-4-amino-4,6-dideoxy-D-glucose + S-Adenosyl-L-methionine + Reduced acceptor <=> dTDP-3-oxo-4,6-dideoxy-D-glucose + Ammonia + L-Methionine + 5'-Deoxyadenosine + Acceptor
R08584	chlorophyll-a magnesium-lyase (pheophytin-a-forming); Chlorophyll a + 2 H+ <=> Pheophytin a + Magnesium cation
R08585	Chlorophyll a <=> Chlorophyll b
R08587	futalosine ribohydrolase; Futalosine + H2O <=> Dehypoxanthine futalosine + Hypoxanthine
R08588	dehypoxanthine futalosine:S-adenosyl-L-methionine oxidoreductase (cyclizing); Dehypoxanthine futalosine + S-Adenosyl-L-methionine <=> Cyclic dehypoxanthine futalosine + 5'-Deoxyadenosine + L-Methionine
R08589	cyclic dehypoxanthine futalosine lyase (dihydroxyacetone-forming); Cyclic dehypoxanthine futalosine <=> 1,4-Dihydroxy-6-naphthoate + Glycerone
R08590	3-sulfolactate:NAD+ oxidoreductase; 3-Sulfopyruvate + NADH + H+ <=> 3-Sulfolactate + NAD+
R08591	dTDP-2,6-dideoxy-L-glycero-hex-2-enos-4-ulose <=> dTDP-3,4-dioxo-2,6-dideoxy-L-glucose
R08596	1,4-Dihydroxy-6-naphthoate <=> Menaquinone
R08597	dTDP-4-oxo-2,6-dideoxy-D-glucose 3,5-epimerase; dTDP-4-oxo-2,6-dideoxy-D-glucose <=> dTDP-4-oxo-2,6-dideoxy-L-mannose
R08599	GDP-D-mannose + G10694 <=> GDP + G01813
R08600	N-acetyl-4-O-acetylneuraminate 4-O-acetylhydrolase; N-Acetyl-4-O-acetylneuraminate + H2O <=> N-Acetylneuraminate + Acetate
R08601	N-acetyl-9-O-acetylneuraminate 9-O-acetylhydrolase; N-Acetyl-9-O-acetylneuraminate + H2O <=> N-Acetylneuraminate + Acetate
R08602	S-palmitoylprotein hydrolase; S-Palmitoylprotein + H2O <=> Hexadecanoic acid + [Protein]-L-cysteine
R08603	3D-(3,5/4)-trihydroxycyclohexane-1,2-dione acylhydrolase (decyclizing); 3D-3,5/4-Trihydroxycyclohexane-1,2-dione + H2O <=> 5-Deoxy-D-glucuronate
R08604	tryptamine,NADPH:oxygen oxidoreductase (N-hydroxylating); Tryptamine + Oxygen + NADPH <=> N-Hydroxyl-tryptamine + H2O + NADP+
R08605	N-hydroxyl-tryptamine oxidoreductase; N-Hydroxyl-tryptamine <=> Indole-3-acetaldehyde oxime
R08606	Indole-3-acetaldehyde oxime <=> Indole-3-acetaldehyde
R08607	indole-3-acetaldehyde-oxime,NADPH:oxidoreductase; Indole-3-acetaldehyde oxime + NADPH + Oxygen + H+ <=> Indole-3-acetaldoxime N-oxide + NADP+ + H2O
R08608	Indole-3-acetaldoxime N-oxide + L-Cysteine <=> S-(Indolylmethylthiohydroximoyl)-L-cysteine + H2O
R08609	Indole <=> Indole-3-acetate
R08610	5-hydroxymethyluracil,2-oxoglutarate:oxygen oxidoreductase; 5-Hydroxymethyluracil + 2-Oxoglutarate + Oxygen <=> Uracil 5-carbaldehyde + Succinate + CO2 + H2O
R08611	5-formyluracil,2-oxoglutarate:oxygen oxidoreductase; Uracil 5-carbaldehyde + 2-Oxoglutarate + Oxygen <=> Uracil 5-carboxylate + Succinate + CO2
R08612	4-beta-D-mannan mannanohydrolase; 1,4-beta-D-Mannan + H2O <=> 1,4-beta-D-Mannooligosaccharide + 1,4-beta-D-Mannan
R08613	beta-D-mannoside mannohydrolase; beta-D-Mannoside + H2O <=> ROH + D-Mannose
R08614	1,4-beta-D-mannooligosaccharide mannohydrolase; 1,4-beta-D-Mannooligosaccharide + H2O <=> D-Mannose + 1,4-beta-D-Mannooligosaccharide
R08615	UDP-glucuronate glucuronohydrolase; UDP-glucuronate + H2O <=> UDP + D-Glucuronate
R08616	raffinose:raffinose 3F-alpha-D-galactosyltransferase; 2 Raffinose <=> Isolychnose + Sucrose
R08617	D-glucose-6-phosphate phosphate-lyase (2-deoxy-scyllo-inosose-forming); D-Glucose 6-phosphate <=> 2-Deoxy-scyllo-inosose + Orthophosphate
R08618	L-methionine:2-oxo-acid aminotransferase; L-Methionine + 2-Oxo acid <=> 4-Methylthio-2-oxobutanoic acid + L-Amino acid
R08619	acetyl-CoA:4-methylthio-2-oxobutanoate C-acetyltransferase (thioester-hydrolysing, carboxymethyl-forming); 4-Methylthio-2-oxobutanoic acid + Acetyl-CoA + H2O <=> 2-(2'-Methylthio)ethylmalic acid + CoA
R08620	2-(2'-methylthio)ethylmalate hydroxymutase; 2-(2'-Methylthio)ethylmalic acid <=> 3-(2'-Methylthio)ethylmalic acid
R08621	3-(2'-methylthio)ethylmalate:NAD+ oxidoreductase (decarboxylating); 3-(2'-Methylthio)ethylmalic acid + NAD+ <=> 2-Oxo-5-methylthiopentanoic acid + CO2 + NADH + H+
R08622	homomethionine:2-oxo-acid aminotransferase; 2-Oxo-5-methylthiopentanoic acid + L-Amino acid <=> Homomethionine + 2-Oxo acid
R08623	acetyl-CoA:5-methylthio-2-oxopentanoate C-acetyltransferase (thioester-hydrolysing, carboxymethyl-forming); 2-Oxo-5-methylthiopentanoic acid + Acetyl-CoA + H2O <=> 2-(3'-Methylthio)propylmalic acid + CoA
R08624	2-(3'-methylthio)propylmalate hydroxymutase; 2-(3'-Methylthio)propylmalic acid <=> 3-(3'-Methylthio)propylmalic acid
R08625	3-(3'-methylthio)propylmalate:NAD+ oxidoreductase (decarboxylating); 3-(3'-Methylthio)propylmalic acid + NAD+ <=> 2-Oxo-6-methylthiohexanoic acid + CO2 + NADH + H+
R08626	dihomomethionine:2-oxo-acid aminotransferase; 2-Oxo-6-methylthiohexanoic acid + L-Amino acid <=> Dihomomethionine + 2-Oxo acid
R08627	acetyl-CoA:6-methylthio-2-oxohexanoate C-acetyltransferase (thioester-hydrolysing, carboxymethyl-forming); 2-Oxo-6-methylthiohexanoic acid + Acetyl-CoA + H2O <=> 2-(4'-Methylthio)butylmalic acid + CoA
R08628	2-(3'-methylthio)butylmalate hydroxymutase; 2-(4'-Methylthio)butylmalic acid <=> 3-(4'-Methylthio)butylmalic acid
R08629	3-(4'-methylthio)butylmalate:NAD+ oxidoreductase (decarboxylating); 3-(4'-Methylthio)butylmalic acid + NAD+ <=> 2-Oxo-7-methylthioheptanoic acid + CO2 + NADH + H+
R08630	trihomomethionine:2-oxo-acid aminotransferase; 2-Oxo-7-methylthioheptanoic acid + L-Amino acid <=> Trihomomethionine + 2-Oxo acid
R08631	acetyl-CoA:7-methylthio-2-oxoheptanoate C-acetyltransferase (thioester-hydrolysing, carboxymethyl-forming); 2-Oxo-7-methylthioheptanoic acid + Acetyl-CoA + H2O <=> 2-(5'-Methylthio)pentylmalic acid + CoA
R08632	L-cystathionine cysteine-lyase; L-Cystathionine <=> L-Cysteine + 2-Aminobut-2-enoate
R08633	L-homocysteine hydrogen-sulfide-lyase; L-Homocysteine <=> Hydrogen sulfide + 2-Aminobut-2-enoate
R08634	2-(3'-methylthio)pentylmalate hydroxymutase; 2-(5'-Methylthio)pentylmalic acid <=> 3-(5'-Methylthio)pentylmalic acid
R08635	L-methionine methanethiol-lyase; L-Methionine <=> Methanethiol + 2-Aminobut-2-enoate
R08636	3-(5'-methylthio)pentylmalate:NAD+ oxidoreductase (decarboxylating); 3-(5'-Methylthio)pentylmalic acid + NAD+ <=> 2-Oxo-8-methylthiooctanoic acid + CO2 + NADH + H+
R08637	2-aminobut-2-enoate aminohydrolase (spontaneous); 2-Aminobut-2-enoate + H2O <=> 2-Oxobutanoate + Ammonia
R08638	tetrahomomethionine:2-oxo-acid aminotransferase; 2-Oxo-8-methylthiooctanoic acid + L-Amino acid <=> Tetrahomomethionine + 2-Oxo acid
R08639	alpha-D-glucose 1,6-phosphomutase; D-Glucose 1-phosphate <=> D-Glucose 6-phosphate
R08640	acetyl-CoA:8-methylthio-2-oxooctanoate C-acetyltransferase (thioester-hydrolysing, carboxymethyl-forming); 2-Oxo-8-methylthiooctanoic acid + Acetyl-CoA + H2O <=> 2-(6'-Methylthio)hexylmalic acid + CoA
R08641	2-(3'-methylthio)hexylmalate hydroxymutase; 2-(6'-Methylthio)hexylmalic acid <=> 3-(6'-Methylthio)hexylmalic acid
R08642	3-(6'-methylthio)hexylmalate:NAD+ oxidoreductase (decarboxylating); 3-(6'-Methylthio)hexylmalic acid + NAD+ <=> 2-Oxo-9-methylthiononanoic acid + CO2 + NADH + H+
R08643	pentahomomethionine:2-oxo-acid aminotransferase; 2-Oxo-9-methylthiononanoic acid + L-Amino acid <=> Pentahomomethionine + 2-Oxo acid
R08644	acetyl-CoA:9-methylthio-2-oxononanoate C-acetyltransferase (thioester-hydrolysing, carboxymethyl-forming); 2-Oxo-9-methylthiononanoic acid + Acetyl-CoA + H2O <=> 2-(7'-Methylthio)heptylmalic acid + CoA
R08645	2-(3'-methylthio)heptylmalate hydroxymutase; 2-(7'-Methylthio)heptylmalic acid <=> 3-(7'-Methylthio)heptylmalic acid
R08646	3-(7'-methylthio)heptylmalate:NAD+ oxidoreductase (decarboxylating); 3-(7'-Methylthio)heptylmalic acid + NAD+ <=> 2-Oxo-10-methylthiodecanoic acid + CO2 + NADH + H+
R08647	hexahomomethionine:2-oxo-acid aminotransferase; 2-Oxo-10-methylthiodecanoic acid + L-Amino acid <=> Hexahomomethionine + 2-Oxo acid
R08648	pyruvate:2-oxobutanoate acetaldehydetransferase (decarboxylating); Pyruvate + 2-Oxobutanoate <=> (S)-2-Aceto-2-hydroxybutanoate + CO2
R08650	L-Aspartate 4-semialdehyde + Glycerone phosphate <=> 3-Amino-4-hydroxybenzoate + Orthophosphate + 2 H2O
R08651	D-fructose:NADP+ 5-oxidoreductase; D-Fructose + NADP+ <=> 5-Dehydro-D-fructose + NADPH + H+
R08652	L-phenylalanine,NADPH:oxygen oxidoreductase (N-hydroxylating, decarboxylating); L-Phenylalanine + 2 Oxygen + 2 [Reduced NADPH---hemoprotein reductase] <=> (Z)-Phenylacetaldehyde oxime + 2 [Oxidized NADPH---hemoprotein reductase] + CO2 + 3 H2O
R08653	(Z)-phenylacetaldehyde-oxime,NADPH:oxygen oxidoreductase (adding cysteine); (Z)-Phenylacetaldehyde oxime + L-Cysteine + NADPH + Oxygen + H+ <=> S-(Phenylacetothiohydroximoyl)-L-cysteine + NADP+ + 2 H2O
R08654	S-(phenylacetothiohydroximoyl)-L-cysteine phenylacetothiohydroximate-lyase (deaminating; pyruvate-forming); S-(Phenylacetothiohydroximoyl)-L-cysteine + H2O <=> Phenylacetothiohydroximate + Pyruvate + Ammonia
R08655	L-phenylalanine,NADPH:oxygen oxidoreductase (N-hydroxylating, decarboxylating); L-Homophenylalanine + 2 Oxygen + 2 NADPH + 2 H+ <=> 3-Phenylpropionaldoxim + 2 NADP+ + CO2 + 3 H2O
R08657	sn-glycerol 3-phosphate:ubiquinone oxidoreductase; sn-Glycerol 3-phosphate + Ubiquinone <=> Glycerone phosphate + Ubiquinol
R08658	glycerol-1-phosphate phosphohydrolase; DL-Glycerol 1-phosphate + H2O <=> Glycerol + Orthophosphate
R08659	(Z)-4-hydroxyphenylacetaldehyde-oxime,NADPH:oxygen oxidoreductase (adding cysteine); (Z)-4-Hydroxyphenylacetaldehyde oxime + Oxygen + NADPH + L-Cysteine + H+ <=> S-(Hydroxyphenylacetothiohydroximoyl)-L-cysteine + NADP+ + 2 H2O
R08660	S-(hydroxyphenylacetothiohydroximoyl)-L-cysteine phenylacetothiohydroximate-lyase (deaminating; pyruvate-forming); S-(Hydroxyphenylacetothiohydroximoyl)-L-cysteine + H2O <=> p-Hydroxyphenylacetothiohydroximate + Pyruvate + Ammonia
R08661	UDP-glucose:p-hydroxyphenylacetothiohydroximate S-beta-D-glucosyltransferase; p-Hydroxyphenylacetothiohydroximate + UDP-glucose <=> p-Hydroxybenzyldesulphoglucosinolate + UDP
R08662	3'-phosphoadenylyl-sulfate:desulfo-p-hydroxybenzylglucosinolate sulfotransferase; p-Hydroxybenzyldesulphoglucosinolate + 3'-Phosphoadenylyl sulfate <=> Sinalbin + Adenosine 3',5'-bisphosphate
R08663	L-valine,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (N-hydroxylating); L-Valine + 2 Oxygen + 2 [Reduced NADPH---hemoprotein reductase] <=> (E)-2-Methylpropanal oxime + 2 [Oxidized NADPH---hemoprotein reductase] + CO2 + 3 H2O
R08664	L-leucine,NADPH:oxygen oxidoreductase (N-hydroxylating, decarboxylating); L-Leucine + 2 Oxygen + 2 NADPH + 2 H+ <=> 3-Methylbutyraldehyde oxime + 3 H2O + 2 NADP+ + CO2
R08665	homomethionine,[NADPH---hemoprotein reductase]:oxygen oxidoreductase; Homomethionine + 2 [Reduced NADPH---hemoprotein reductase] + 2 Oxygen <=> 4-Methylthiobutanaldoxime + 2 [Oxidized NADPH---hemoprotein reductase] + CO2 + 3 H2O
R08666	4-methylthiobutanaldoxime,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (adding cysteine); 4-Methylthiobutanaldoxime + L-Cysteine + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> S-(4-Methylthiobutylthiohydroximoyl)-L-cysteine + [Oxidized NADPH---hemoprotein reductase] + 2 H2O
R08667	S-(4-methylthiobutylthiohydroximoyl)-L-cysteine 4-methylthiobutylthiohydroximate-lyase (deaminating; pyruvate-forming); S-(4-Methylthiobutylthiohydroximoyl)-L-cysteine + H2O <=> 4-Methylthiobutylthiohydroximate + Pyruvate + Ammonia
R08668	UDP-glucose:4-methylthiobutylthiohydroximate S-beta-D-glucosyltransferase; 4-Methylthiobutylthiohydroximate + UDP-glucose <=> 3-Methylthiopropyl-desulfoglucosinolate + UDP
R08669	3'-phosphoadenylyl-sulfate:3-methylthiopropyl-desulfoglucosinolate sulfotransferase; 3-Methylthiopropyl-desulfoglucosinolate + 3'-Phosphoadenylyl sulfate <=> Glucoiberverin + Adenosine 3',5'-bisphosphate
R08670	dihomomethionine,[NADPH---hemoprotein reductase]:oxygen oxidoreductase; Dihomomethionine + 2 [Reduced NADPH---hemoprotein reductase] + 2 Oxygen <=> 5-Methylthiopentanaldoxime + 2 [Oxidized NADPH---hemoprotein reductase] + CO2 + 3 H2O
R08671	3'-phosphoadenylyl-sulfate:4-methylthiobutyl-desulfoglucosinolate sulfotransferase; 4-Methylthiobutyl-desulfoglucosinolate + 3'-Phosphoadenylyl sulfate <=> Glucoerucin + Adenosine 3',5'-bisphosphate
R08672	trihomomethionine,[NADPH---hemoprotein reductase]:oxygen oxidoreductase; Trihomomethionine + 2 [Reduced NADPH---hemoprotein reductase] + 2 Oxygen <=> 6-Methylthiohexanaldoxime + 2 [Oxidized NADPH---hemoprotein reductase] + CO2 + 3 H2O
R08673	tetrahomomethionine,[NADPH---hemoprotein reductase]:oxygen oxidoreductase; Tetrahomomethionine + 2 [Reduced NADPH---hemoprotein reductase] + 2 Oxygen <=> 7-Methylthioheptanaldoxime + 2 [Oxidized NADPH---hemoprotein reductase] + CO2 + 3 H2O
R08674	pentahomomethionine,[NADPH---hemoprotein reductase]:oxygen oxidoreductase; Pentahomomethionine + 2 [Reduced NADPH---hemoprotein reductase] + 2 Oxygen <=> 8-Methylthiooctanaldoxime + 2 [Oxidized NADPH---hemoprotein reductase] + CO2 + 3 H2O
R08675	hexahomomethionine,[NADPH---hemoprotein reductase]:oxygen oxidoreductase; Hexahomomethionine + 2 [Reduced NADPH---hemoprotein reductase] + 2 Oxygen <=> 9-Methylthiononanaldoxime + 2 [Oxidized NADPH---hemoprotein reductase] + CO2 + 3 H2O
R08676	ADP-glucose:D-fructose 2-alpha-D-glucosyltransferase; ADP + Sucrose <=> ADP-glucose + D-Fructose
R08678	S-sulfanylglutathione:oxygen oxidoreductase; S-Sulfanylglutathione + Oxygen + H2O <=> Glutathione + Sulfite
R08679	amino acid:2-oxo-acid aminotransferase; Amino acid + 2-Oxo acid <=> Amino acid + 2-Oxo acid
R08680	acetyl-CoA:2-oxo-acid C-acetyltransferase (thioester-hydrolysing, carboxymethyl-forming); 2-Oxo acid + Acetyl-CoA + H2O <=> 2-Alkylmalic acid + CoA
R08681	2-alkylmalate hydroxymutase; 2-Alkylmalic acid <=> 3-Alkylmalic acid
R08682	3-alkylmalate oxidoreductase (decarboxylating); 3-Alkylmalic acid <=> Aliphatic oxo acid + CO2
R08683	amino acid:2-oxo-acid aminotransferase; Aliphatic oxo acid + Amino acid <=> Homoamino acid + 2-Oxo acid
R08684	amino-acid,NADPH:oxygen oxidoreductase (N-hydroxylating, decarboxylating); Amino acid + 2 Oxygen + 2 NADPH + 2 H+ <=> Aldoxime + 2 NADP+ + 3 H2O + CO2
R08685	aldoxime,NADPH:oxygen oxidoreductase (adding cysteine); Aldoxime + NADPH + Oxygen + L-Cysteine + H+ <=> S-Alkyl-thiohydroximate + NADP+ + 2 H2O
R08686	S-thiohydroximoyl-L-cysteine thiohydroximate-lyase (deaminating; pyruvate-forming); S-Alkyl-thiohydroximate + H2O <=> Thiohydroximic acid + Pyruvate + Ammonia
R08687	UDP-glucose:thiohydroximate S-beta-D-glucosyltransferase; Thiohydroximic acid + UDP-glucose <=> desulfo-Glucosinolate + UDP
R08688	3'-phosphoadenylyl-sulfate:desulfoglucosinolate sulfotransferase; desulfo-Glucosinolate + 3'-Phosphoadenylyl sulfate <=> Glucosinolate + Adenosine 3',5'-bisphosphate
R08689	(E)-4-hydroxy-3-methylbut-2-en-1-yl-diphosphate:oxidized ferredoxin oxidoreductase (hydrating); 2-C-Methyl-D-erythritol 2,4-cyclodiphosphate + 2 Reduced ferredoxin <=> 1-Hydroxy-2-methyl-2-butenyl 4-diphosphate + H2O + 2 Oxidized ferredoxin
R08690	side chain-elongation; L-Phenylalanine <=> L-Homophenylalanine
R08691	trans,trans-farnesyl-diphosphate diphosphate-lyase [cyclizing, (+)-valencene-forming]; (2E,6E)-farnesyl-diphosphate diphosphate-lyase [cyclizing, (+)-valencene-forming]; trans,trans-Farnesyl diphosphate <=> (+)-Valencene + Diphosphate
R08692	GDP-D-mannuronate:poly(beta-D-mannuronate) beta-D-mannuronyltransferase; GDP-D-mannuronate + (beta-D-Mannuronate)n <=> (beta-D-Mannuronate)n + GDP
R08693	poly(beta-D-mannuronate) C5-epimerase; (beta-D-Mannuronate)n <=> (Alginate)n
R08694	(1->4)-alpha-D-galacturonan lyase; poly(1,4-alpha-D-galacturonate)lyase; Pectate <=> Oligosaccharide with 4-deoxy-alpha-D-gluc-4-enuronosyl group + Pectate
R08695	(2E,6E)-farnesyl-diphosphate diphosphate-lyase [(E)-beta-farnesene-forming]; trans,trans-farnesyl-diphosphate diphosphate-lyase (beta-farnesene-forming); trans,trans-Farnesyl diphosphate <=> beta-Farnesene + Diphosphate
R08696	(2E,6E)-farnesyl-diphosphate lyase [(3E,6E)-alpha-farnesene-forming]; trans,trans-farnesyl-diphosphate diphosphate-lyase (alpha-farnesene-forming); trans,trans-Farnesyl diphosphate <=> alpha-Farnesene + Diphosphate
R08697	trans,trans-farnesyl-diphosphate diphosphohydrolase; (2E,6E)-farnesyl-diphosphate diphosphohydrolase; trans,trans-Farnesyl diphosphate + H2O <=> (2E,6E)-Farnesol + Diphosphate
R08698	2-aminoacrylate aminohydrolase; Dehydroalanine + H2O <=> Pyruvate + Ammonia
R08699	3'-phosphoadenylyl sulfate:2-aminoacrylate C-sulfotransferase; Dehydroalanine + 3'-Phosphoadenylyl sulfate <=> L-Cysteate + Adenosine 3',5'-bisphosphate
R08700	[enzyme]-S-sulfanylcysteine:tRNA-uridine sulfurtransferase (ATP-hydrolysing); tRNA uridine + [Enzyme]-S-sulfanylcysteine + ATP <=> tRNA containing 2-thiouridine + [Enzyme]-cysteine + AMP + Diphosphate
R08701	tRNA uridine 5-carboxymethylaminomethyl modification; tRNA containing 2-thiouridine + Glycine + Folinic acid + Reduced acceptor <=> tRNA containing 5-carboxymethylaminomethyl-2-thiouridine + Tetrahydrofolate + Acceptor + H2O
R08702	tRNA containing 5-carboxymethylaminomethyl-2-thiouridine:oxygen oxidoreductase; tRNA containing 5-carboxymethylaminomethyl-2-thiouridine + Oxygen + H2O <=> tRNA containing 5-(aminomethyl)-2-thiouridine + Glyoxylate + Hydrogen peroxide
R08704	UDP-4-dehydro-6-deoxy-glucose 3,5-epimerase; UDP-4-dehydro-6-deoxy-D-glucose <=> UDP-4-keto-rhamnose
R08705	UDP-L-rhamnose:NADP+ 4-oxidoreductase; UDP-4-keto-rhamnose + NADPH + H+ <=> UDP-L-rhamnose + NADP+
R08706	UDP-N-acetyl-D-glucosaminuronate 4-epimerase; UDP-N-acetyl-2-amino-2-deoxy-D-glucuronate <=> UDP-N-acetyl-D-galactosaminuronic acid
R08707	N-linked-glycopeptide-(N-acetyl-beta-D-glucosaminyl)-L-asparagine amidohydrolase; 4-N-(N-Acetyl-D-glucosaminyl)-protein + H2O <=> N-Acetyl-beta-D-glucosaminylamine + Peptide L-aspartate
R08708	CDP-4-dehydro-3,6-dideoxy-D-glucose 5-epimerase; CDP-3,6-dideoxy-D-erythro-hexos-4-ulose 5-epimerase; CDP-4-dehydro-3,6-dideoxy-D-glucose <=> CDP-4-dehydro-3,6-dideoxy-D-glucose epimer
R08709	CDP-ascarylose:NAD+ 4-oxidoreductase; CDP-4-dehydro-3,6-dideoxy-D-glucose epimer + NADH + H+ <=> CDP-ascarylose + NAD+
R08710	CDP-ascarylose:NADP+ 4-oxidoreductase; CDP-4-dehydro-3,6-dideoxy-D-glucose epimer + NADPH + H+ <=> CDP-ascarylose + NADP+
R08711	CDP-abequose:NADP+ 4-oxidoreductase; CDP-4-dehydro-3,6-dideoxy-D-glucose + NADPH + H+ <=> CDP-abequose + NADP+
R08712	acyl-CoA:tropine O-acyltransferase; Acyl-CoA + Tropine <=> CoA + O-Acyltropine
R08713	acyl-CoA:pseudotropine O-acyltransferase; Acyl-CoA + Pseudotropine <=> CoA + O-Acylpseudotropine
R08714	putrescine:pyruvate aminotransferase; Putrescine + Pyruvate <=> 4-Aminobutyraldehyde + L-Alanine
R08715	chitosan exo-1,4-beta-D-glucosaminidase; chitosan glucosaminohydrolase; Chitosan(n+1) + H2O <=> Chitosan(n) + D-Glucosamine
R08716	cobalt-precorrin 3 dehydrogenase; Cobalt-factor III <=> Cobalt-precorrin 3
R08717	G00309 + H2O <=> G00319 + D-Mannose
