,kegg_code,organism,kingdom,lineage
T02851,dgg,Megalodesulfovibrio gigas,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobacteriota;Megalodesulfovibrio
T00294,dde,Oleidesulfovibrio alaskensis,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobacteriota;Oleidesulfovibrio
T06743,dms,Oceanidesulfovibrio marinus,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobacteriota;Oceanidesulfovibrio
T00969,dsa,Maridesulfovibrio salexigens,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobacteriota;Maridesulfovibrio
T02428,dhy,Maridesulfovibrio hydrothermalis,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobacteriota;Maridesulfovibrio
T01662,daf,Desulfocurvibacter africanus subsp. africanus,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobacteriota;Desulfocurvibacter
T01382,das,Pseudodesulfovibrio aespoeensis,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobacteriota;Pseudodesulfovibrio
T02481,dpi,Pseudodesulfovibrio piezophilus,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobacteriota;Pseudodesulfovibrio
T04404,dej,Pseudodesulfovibrio indicus,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobacteriota;Pseudodesulfovibrio
T05258,pprf,Pseudodesulfovibrio profundus,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobacteriota;Pseudodesulfovibrio
T06353,psel,Pseudodesulfovibrio cashew,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobacteriota;Pseudodesulfovibrio
T01709,ddn,Pseudodesulfovibrio mercurii,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobacteriota;Pseudodesulfovibrio
T08380,psef,Pseudodesulfovibrio sediminis,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobacteriota;Pseudodesulfovibrio
T08636,ppor,Pseudodesulfovibrio portus,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobacteriota;Pseudodesulfovibrio
T09024,pnw,Pseudodesulfovibrio nedwellii,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobacteriota;Pseudodesulfovibrio
T09613,pthe,Pseudodesulfovibrio thermohalotolerans,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobacteriota;Pseudodesulfovibrio
T10565,pmen,Pseudodesulfovibrio methanolicus,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobacteriota;Pseudodesulfovibrio
T00354,lip,Lawsonia intracellularis PHE/MN1-00,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobacteriota;Lawsonia
T02437,lir,Lawsonia intracellularis N343,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobacteriota;Lawsonia
T06821,dsx,Desulfolutivibrio sulfoxidireducens,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobacteriota;Desulfolutivibrio
T06784,dsd,Desulfolutivibrio sulfodismutans,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobacteriota;Desulfolutivibrio
T07819,pbiz,Desulfobaculum bizertense,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobacteriota;Desulfobaculum
T00171,dvu,Nitratidesulfovibrio vulgaris Hildenborough,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobacteriota;Nitratidesulfovibrio
T00452,dvl,Nitratidesulfovibrio vulgaris DP4,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobacteriota;Nitratidesulfovibrio
T00816,dvm,Nitratidesulfovibrio vulgaris Miyazaki F,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobacteriota;Nitratidesulfovibrio
T02064,dvg,Nitratidesulfovibrio vulgaris RCH1,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobacteriota;Nitratidesulfovibrio
T09362,clih,Nitratidesulfovibrio liaohensis,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobacteriota;Nitratidesulfovibrio
T09798,tmur,Taurinivorans muris,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobacteriota;Taurinivorans
T11092,bws,Bilophila wadsworthia,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobacteriota;Bilophila
T00963,dba,Desulfomicrobium baculatum,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobacteriota;Desulfomicrobium
T04289,doa,Desulfomicrobium orale,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobacteriota;Desulfomicrobium
T08898,desu,Desulfomicrobium sp. ZS1,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobacteriota;Desulfomicrobium
T08730,thew,Thermodesulfomicrobium sp. WS,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobacteriota;Thermodesulfomicrobium
T00989,drt,Desulfohalobium retbaense,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobacteriota;Desulfohalobium
T00192,dps,Desulfotalea psychrophila,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobacteriota;Desulfotalea
T02473,dsf,Desulfocapsa sulfexigens,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobacteriota;Desulfocapsa
T09067,dlm,Desulfofustis limnaeus,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobacteriota;Desulfofustis
T01244,dak,Desulfurivibrio alkaliphilus,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobacteriota;Desulfurivibrio
T01413,dpr,Desulfobulbus propionicus,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobacteriota;Desulfobulbus
T05339,deo,Desulfobulbus oralis,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobacteriota;Desulfobulbus
T06967,dog,Desulfobulbus oligotrophicus,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobacteriota;Desulfobulbus
T07650,dbk,Desulfomarina profundi,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobacteriota;Desulfomarina
T08652,ddu,Desulfolithobacter dissulfuricans,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobacteriota;Desulfolithobacter
T09821,ecom,Candidatus Electrothrix communis,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobacteriota;Electrothrix
T10293,eaj,Candidatus Electrothrix aestuarii,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobacteriota;Electrothrix
T10500,elax,Candidatus Electrothrix laxa,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobacteriota;Electrothrix
T11025,esd,Candidatus Electrothrix scaldis,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobacteriota;Electrothrix
T11264,elgw,Candidatus Electrothrix sp. GW3-4,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobacteriota;Electrothrix
T10499,eaq,Candidatus Electronema aureum,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobacteriota;Electronema
T00610,dol,Desulfosudis oleivorans,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobacteriota;Desulfosudis
T00813,dal,Desulfatibacillum aliphaticivorans,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobacteriota;Desulfatibacillum
T00861,dat,Desulforapulum autotrophicum,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobacteriota;Desulforapulum
T02268,dto,Desulfobacula toluolica,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobacteriota;Desulfobacula
T10839,dhg,Desulfobacter hydrogenophilus,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobacteriota;Desulfobacter
T06286,dov,Desulfosarcina ovata subsp. sediminis,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobacteriota;Desulfosarcina
T06303,dwd,Desulfosarcina widdelii,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobacteriota;Desulfosarcina
T06544,dalk,Desulfosarcina alkanivorans,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobacteriota;Desulfosarcina
T10385,desb,Desulfosarcina sp. BuS5,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobacteriota;Desulfosarcina
T10869,dvr,Desulfosarcina variabilis,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobacteriota;Desulfosarcina
T04568,dml,Desulfococcus multivorans,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobacteriota;Desulfococcus
T07101,dli,Desulfonema limicola,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobacteriota;Desulfonema
T07102,dmm,Desulfonema magnum,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobacteriota;Desulfonema
T07859,dek,Desulfoluna limicola,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobacteriota;Desulfoluna
T00346,sat,Syntrophus aciditrophicus,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobacteriota;Syntrophus
T01454,dao,Desulfobacca acetoxidans,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobacteriota;Desulfobacca
T02147,dti,Desulfomonile tiedjei,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobacteriota;Desulfomonile
T00418,sfu,Syntrophobacter fumaroxidans,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobacteriota;Syntrophobacter
T05964,dax,Desulfoglaeba alkanexedens,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobacteriota;Desulfoglaeba
T01284,dbr,Desulfarculus baarsii,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobacteriota;Desulfarculus
T09861,dmp,Desulfoferula mesophila,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobacteriota;Desulfoferula
T01546,tid,Thermodesulfatator indicus,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobacteriota;Thermodesulfatator
T01547,top,Thermodesulfobacterium geofontis,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobacteriota;Thermodesulfobacterium
T03212,tcm,Thermodesulfobacterium commune,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobacteriota;Thermodesulfobacterium
T06202,thet,Thermodesulfobacterium sp. TA1,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobacteriota;Thermodesulfobacterium
T04224,cthi,Caldimicrobium thiodismutans,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobacteriota;Caldimicrobium
T06469,tav,Thermosulfuriphilus ammonigenes,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobacteriota;Thermosulfuriphilus
T06536,tmai,Thermosulfurimonas marina,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobacteriota;Thermosulfurimonas
T09963,daw,Candidatus Desulfofervidus auxilii,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobacteriota;Desulfofervidus
T10121,mzl,Candidatus Mycalebacterium zealandia,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobacteriota;Mycalebacterium
T00326,ade,Anaeromyxobacter dehalogenans 2CP-C,Prokaryotes,Prokaryotes;Bacteria;Myxococcota;Anaeromyxobacter
T00833,acp,Anaeromyxobacter dehalogenans 2CP-1,Prokaryotes,Prokaryotes;Bacteria;Myxococcota;Anaeromyxobacter
T00559,afw,Anaeromyxobacter sp. Fw109-5,Prokaryotes,Prokaryotes;Bacteria;Myxococcota;Anaeromyxobacter
T00748,ank,Anaeromyxobacter sp. K,Prokaryotes,Prokaryotes;Bacteria;Myxococcota;Anaeromyxobacter
T08524,aory,Anaeromyxobacter oryzae,Prokaryotes,Prokaryotes;Bacteria;Myxococcota;Anaeromyxobacter
T08525,apau,Anaeromyxobacter paludicola,Prokaryotes,Prokaryotes;Bacteria;Myxococcota;Anaeromyxobacter
T00366,mxa,Myxococcus xanthus,Prokaryotes,Prokaryotes;Bacteria;Myxococcota;Myxococcus
T02436,msd,Myxococcus stipitatus,Prokaryotes,Prokaryotes;Bacteria;Myxococcota;Myxococcus
T06896,mfb,Myxococcus fulvus,Prokaryotes,Prokaryotes;Bacteria;Myxococcota;Myxococcus
T09754,myx,Myxococcus sp. MxC21-1,Prokaryotes,Prokaryotes;Bacteria;Myxococcota;Myxococcus
T09993,mlan,Myxococcus landrumensis,Prokaryotes,Prokaryotes;Bacteria;Myxococcota;Myxococcus
T11143,mfae,Myxococcus faecalis,Prokaryotes,Prokaryotes;Bacteria;Myxococcota;Myxococcus
T11273,mvh,Myxococcus virescens,Prokaryotes,Prokaryotes;Bacteria;Myxococcota;Myxococcus
T04077,mym,Pseudomyxococcus hansupus,Prokaryotes,Prokaryotes;Bacteria;Myxococcota;Pseudomyxococcus
T11142,pfly,Pseudomyxococcus flavus,Prokaryotes,Prokaryotes;Bacteria;Myxococcota;Pseudomyxococcus
T01780,ccx,Corallococcus coralloides,Prokaryotes,Prokaryotes;Bacteria;Myxococcota;Corallococcus
T01558,mfu,Corallococcus macrosporus HW-1,Prokaryotes,Prokaryotes;Bacteria;Myxococcota;Corallococcus
T05096,mmas,Corallococcus macrosporus DSM 14697,Prokaryotes,Prokaryotes;Bacteria;Myxococcota;Corallococcus
T11255,cexi,Corallococcus exiguus,Prokaryotes,Prokaryotes;Bacteria;Myxococcota;Corallococcus
T09992,ppak,Pyxidicoccus parkwayensis,Prokaryotes,Prokaryotes;Bacteria;Myxococcota;Pyxidicoccus
T01425,sur,Stigmatella aurantiaca,Prokaryotes,Prokaryotes;Bacteria;Myxococcota;Stigmatella
T03948,age,Archangium gephyra,Prokaryotes,Prokaryotes;Bacteria;Myxococcota;Archangium
T07137,avm,Archangium violaceum,Prokaryotes,Prokaryotes;Bacteria;Myxococcota;Archangium
T05066,mbd,Melittangium boletus,Prokaryotes,Prokaryotes;Bacteria;Myxococcota;Melittangium
T05065,cfus,Cystobacter fuscus,Prokaryotes,Prokaryotes;Bacteria;Myxococcota;Cystobacter
T04035,vin,Vulgatibacter incomptus,Prokaryotes,Prokaryotes;Bacteria;Myxococcota;Vulgatibacter
T10972,pbru,Pendulispora brunnea,Prokaryotes,Prokaryotes;Bacteria;Myxococcota;Pendulispora
T10973,prue,Pendulispora rubella,Prokaryotes,Prokaryotes;Bacteria;Myxococcota;Pendulispora
T10974,palj,Pendulispora albinea,Prokaryotes,Prokaryotes;Bacteria;Myxococcota;Pendulispora
T00634,scl,Sorangium cellulosum So ce56,Prokaryotes,Prokaryotes;Bacteria;Myxococcota;Sorangium
T02718,scu,Sorangium cellulosum So0157-2,Prokaryotes,Prokaryotes;Bacteria;Myxococcota;Sorangium
T11263,sorg,Sorangium sp. So ce836,Prokaryotes,Prokaryotes;Bacteria;Myxococcota;Sorangium
T04010,ccro,Chondromyces crocatus,Prokaryotes,Prokaryotes;Bacteria;Myxococcota;Chondromyces
T08107,pauu,Polyangium aurulentum,Prokaryotes,Prokaryotes;Bacteria;Myxococcota;Polyangium
T04613,mrm,Minicystis rosea,Prokaryotes,Prokaryotes;Bacteria;Myxococcota;Minicystis
T09833,pabo,Pajaroellobacter abortibovis,Prokaryotes,Prokaryotes;Bacteria;Myxococcota;Pajaroellobacter
T03935,samy,Sandaracinus amylolyticus,Prokaryotes,Prokaryotes;Bacteria;Myxococcota;Sandaracinus
T04033,llu,Labilithrix luteola,Prokaryotes,Prokaryotes;Bacteria;Myxococcota;Labilithrix
T01103,hoh,Haliangium ochraceum,Prokaryotes,Prokaryotes;Bacteria;Myxococcota;Haliangium
T08663,nann,Nannocystis punicea,Prokaryotes,Prokaryotes;Bacteria;Myxococcota;Nannocystis
T11579,npb,Nannocystis pusilla,Prokaryotes,Prokaryotes;Bacteria;Myxococcota;Nannocystis
T00159,bba,Bdellovibrio bacteriovorus HD100,Prokaryotes,Prokaryotes;Bacteria;Bdellovibrionota;Bdellovibrio
T02356,bbat,Bdellovibrio bacteriovorus Tiberius,Prokaryotes,Prokaryotes;Bacteria;Bdellovibrionota;Bdellovibrio
T03036,bbw,Bdellovibrio bacteriovorus W,Prokaryotes,Prokaryotes;Bacteria;Bdellovibrionota;Bdellovibrio
T03079,bbac,Bdellovibrio bacteriovorus 109J,Prokaryotes,Prokaryotes;Bacteria;Bdellovibrionota;Bdellovibrio
T05880,bdq,Bdellovibrio sp. qaytius,Prokaryotes,Prokaryotes;Bacteria;Bdellovibrionota;Bdellovibrio
T06360,bdc,Bdellovibrio sp. NC01,Prokaryotes,Prokaryotes;Bacteria;Bdellovibrionota;Bdellovibrio
T06441,bdz,Bdellovibrio sp. ZAP7,Prokaryotes,Prokaryotes;Bacteria;Bdellovibrionota;Bdellovibrio
T08445,bdk,Bdellovibrio sp. KM01,Prokaryotes,Prokaryotes;Bacteria;Bdellovibrionota;Bdellovibrio
T08711,brey,Bdellovibrio reynosensis,Prokaryotes,Prokaryotes;Bacteria;Bdellovibrionota;Bdellovibrio
T02492,bex,Pseudobdellovibrio exovorus,Prokaryotes,Prokaryotes;Bacteria;Bdellovibrionota;Pseudobdellovibrio
T01630,mai,Micavibrio aeruginosavorus ARL-13,Prokaryotes,Prokaryotes;Bacteria;Bdellovibrionota;Micavibrio
T02517,man,Micavibrio aeruginosavorus EPB,Prokaryotes,Prokaryotes;Bacteria;Bdellovibrionota;Micavibrio
T01659,bmx,Halobacteriovorax marinus,Prokaryotes,Prokaryotes;Bacteria;Bdellovibrionota;Halobacteriovorax
T05649,hax,Halobacteriovorax sp. BALOs_7,Prokaryotes,Prokaryotes;Bacteria;Bdellovibrionota;Halobacteriovorax
T05263,bsto,Bacteriovorax stolpii,Prokaryotes,Prokaryotes;Bacteria;Bdellovibrionota;Bacteriovorax
T09598,psti,Peredibacter starrii,Prokaryotes,Prokaryotes;Bacteria;Bdellovibrionota;Peredibacter
T05949,sbf,Fluviispira sanaruensis,Prokaryotes,Prokaryotes;Bacteria;Bdellovibrionota;Fluviispira
T08995,pij,Pigmentibacter sp. JX0631,Prokaryotes,Prokaryotes;Bacteria;Bdellovibrionota;Pigmentibacter
T09772,saqi,Silvanigrella aquatica,Prokaryotes,Prokaryotes;Bacteria;Bdellovibrionota;Silvanigrella
T11298,scik,Spirobacillus cienkowskii,Prokaryotes,Prokaryotes;Bacteria;Bdellovibrionota;Spirobacillus
T00845,tro,Thermomicrobium roseum,Prokaryotes,Prokaryotes;Bacteria;Thermomicrobiota;Thermomicrobium
T01128,sti,Sphaerobacter thermophilus,Prokaryotes,Prokaryotes;Bacteria;Thermomicrobiota;Sphaerobacter
T01488,tnr,Thermodesulfobium narugense,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobiota;Thermodesulfobium
T05396,taci,Thermodesulfobium acidiphilum,Prokaryotes,Prokaryotes;Bacteria;Thermodesulfobiota;Thermodesulfobium
T00017,ctr,Chlamydia trachomatis D/UW-3/CX,Prokaryotes,Prokaryotes;Bacteria;Chlamydiota;Chlamydia
T01900,ctd,Chlamydia trachomatis D-EC,Prokaryotes,Prokaryotes;Bacteria;Chlamydiota;Chlamydia
T01901,ctf,Chlamydia trachomatis D-LC,Prokaryotes,Prokaryotes;Bacteria;Chlamydiota;Chlamydia
T02551,ctrd,Chlamydia trachomatis D/SotonD1,Prokaryotes,Prokaryotes;Bacteria;Chlamydiota;Chlamydia
T02560,ctro,Chlamydia trachomatis D/SotonD5,Prokaryotes,Prokaryotes;Bacteria;Chlamydiota;Chlamydia
T02561,ctrt,Chlamydia trachomatis D/SotonD6,Prokaryotes,Prokaryotes;Bacteria;Chlamydiota;Chlamydia
T00280,cta,Chlamydia trachomatis A/HAR-13,Prokaryotes,Prokaryotes;Bacteria;Chlamydiota;Chlamydia
T01707,cty,Chlamydia trachomatis A2497,Prokaryotes,Prokaryotes;Bacteria;Chlamydiota;Chlamydia
T02094,cra,Chlamydia trachomatis A2497,Prokaryotes,Prokaryotes;Bacteria;Chlamydiota;Chlamydia
T02562,ctrq,Chlamydia trachomatis A/363,Prokaryotes,Prokaryotes;Bacteria;Chlamydiota;Chlamydia
T02563,ctrx,Chlamydia trachomatis A/5291,Prokaryotes,Prokaryotes;Bacteria;Chlamydiota;Chlamydia
T02564,ctrz,Chlamydia trachomatis A/7249,Prokaryotes,Prokaryotes;Bacteria;Chlamydiota;Chlamydia
T02557,ctrp,Chlamydia trachomatis L1/1322/p2,Prokaryotes,Prokaryotes;Bacteria;Chlamydiota;Chlamydia
T02569,ctlj,Chlamydia trachomatis L1/115,Prokaryotes,Prokaryotes;Bacteria;Chlamydiota;Chlamydia
T02570,ctlx,Chlamydia trachomatis L1/224,Prokaryotes,Prokaryotes;Bacteria;Chlamydiota;Chlamydia
T02571,ctll,Chlamydia trachomatis L1/440/LN,Prokaryotes,Prokaryotes;Bacteria;Chlamydiota;Chlamydia
T00645,ctb,Chlamydia trachomatis L2/434/Bu,Prokaryotes,Prokaryotes;Bacteria;Chlamydiota;Chlamydia
T02559,ctrr,Chlamydia trachomatis L2/25667R,Prokaryotes,Prokaryotes;Bacteria;Chlamydiota;Chlamydia
T02621,ctlf,Chlamydia trachomatis L2/434/Bu(f),Prokaryotes,Prokaryotes;Bacteria;Chlamydiota;Chlamydia
T02622,ctli,Chlamydia trachomatis L2/434/Bu(i),Prokaryotes,Prokaryotes;Bacteria;Chlamydiota;Chlamydia
T00646,ctl,Chlamydia trachomatis L2b/UCH-1/proctitis,Prokaryotes,Prokaryotes;Bacteria;Chlamydiota;Chlamydia
T02548,ctru,Chlamydia trachomatis L2b/UCH-2,Prokaryotes,Prokaryotes;Bacteria;Chlamydiota;Chlamydia
T02549,ctrl,Chlamydia trachomatis L2b/LST,Prokaryotes,Prokaryotes;Bacteria;Chlamydiota;Chlamydia
T02554,ctrv,Chlamydia trachomatis L2b/CV204,Prokaryotes,Prokaryotes;Bacteria;Chlamydiota;Chlamydia
T02558,ctrm,Chlamydia trachomatis L2b/Ams1,Prokaryotes,Prokaryotes;Bacteria;Chlamydiota;Chlamydia
T02574,ctla,Chlamydia trachomatis L2b/Ams2,Prokaryotes,Prokaryotes;Bacteria;Chlamydiota;Chlamydia
T02575,ctlm,Chlamydia trachomatis L2b/Ams3,Prokaryotes,Prokaryotes;Bacteria;Chlamydiota;Chlamydia
T02576,ctls,Chlamydia trachomatis L2b/Ams4,Prokaryotes,Prokaryotes;Bacteria;Chlamydiota;Chlamydia
T02577,ctlz,Chlamydia trachomatis L2b/Ams5,Prokaryotes,Prokaryotes;Bacteria;Chlamydiota;Chlamydia
T02567,ctlc,Chlamydia trachomatis L2b/Canada1,Prokaryotes,Prokaryotes;Bacteria;Chlamydiota;Chlamydia
T02568,ctln,Chlamydia trachomatis L2b/Canada2,Prokaryotes,Prokaryotes;Bacteria;Chlamydiota;Chlamydia
T02572,ctlb,Chlamydia trachomatis L2b/795,Prokaryotes,Prokaryotes;Bacteria;Chlamydiota;Chlamydia
T02573,ctlq,Chlamydia trachomatis L2b/8200/07,Prokaryotes,Prokaryotes;Bacteria;Chlamydiota;Chlamydia
T01574,cto,Chlamydia trachomatis L2c,Prokaryotes,Prokaryotes;Bacteria;Chlamydiota;Chlamydia
T02550,ctrn,Chlamydia trachomatis L3/404/LN,Prokaryotes,Prokaryotes;Bacteria;Chlamydiota;Chlamydia
T00960,ctj,Chlamydia trachomatis B/Jali20/OT,Prokaryotes,Prokaryotes;Bacteria;Chlamydiota;Chlamydia
T01327,ctz,Chlamydia trachomatis B/TZ1A828/OT,Prokaryotes,Prokaryotes;Bacteria;Chlamydiota;Chlamydia
T01902,ctg,Chlamydia trachomatis E/11023,Prokaryotes,Prokaryotes;Bacteria;Chlamydiota;Chlamydia
T01903,ctk,Chlamydia trachomatis E/150,Prokaryotes,Prokaryotes;Bacteria;Chlamydiota;Chlamydia
T01966,csw,Chlamydia trachomatis Sweden2,Prokaryotes,Prokaryotes;Bacteria;Chlamydiota;Chlamydia
T02164,ces,Chlamydia trachomatis E/SW3,Prokaryotes,Prokaryotes;Bacteria;Chlamydiota;Chlamydia
T02547,ctrb,Chlamydia trachomatis E/Bour,Prokaryotes,Prokaryotes;Bacteria;Chlamydiota;Chlamydia
T02555,ctre,Chlamydia trachomatis E/SotonE4,Prokaryotes,Prokaryotes;Bacteria;Chlamydiota;Chlamydia
T02556,ctrs,Chlamydia trachomatis E/SotonE8,Prokaryotes,Prokaryotes;Bacteria;Chlamydiota;Chlamydia
T03168,ctec,Chlamydia trachomatis E/C599,Prokaryotes,Prokaryotes;Bacteria;Chlamydiota;Chlamydia
T02165,cfs,Chlamydia trachomatis F/SW4,Prokaryotes,Prokaryotes;Bacteria;Chlamydiota;Chlamydia
T02166,cfw,Chlamydia trachomatis F/SW5,Prokaryotes,Prokaryotes;Bacteria;Chlamydiota;Chlamydia
T03169,ctfw,Chlamydia trachomatis F/SWFPminus,Prokaryotes,Prokaryotes;Bacteria;Chlamydiota;Chlamydia
T02552,ctrf,Chlamydia trachomatis F/SotonF3,Prokaryotes,Prokaryotes;Bacteria;Chlamydiota;Chlamydia
T02805,ctch,Chlamydia trachomatis F/11-96,Prokaryotes,Prokaryotes;Bacteria;Chlamydiota;Chlamydia
T01904,ctn,Chlamydia trachomatis G/11074,Prokaryotes,Prokaryotes;Bacteria;Chlamydiota;Chlamydia
T01905,ctq,Chlamydia trachomatis G/11222,Prokaryotes,Prokaryotes;Bacteria;Chlamydiota;Chlamydia
T01906,ctv,Chlamydia trachomatis G/9301,Prokaryotes,Prokaryotes;Bacteria;Chlamydiota;Chlamydia
T01907,ctw,Chlamydia trachomatis G/9768,Prokaryotes,Prokaryotes;Bacteria;Chlamydiota;Chlamydia
T02553,ctrg,Chlamydia trachomatis G/SotonG1,Prokaryotes,Prokaryotes;Bacteria;Chlamydiota;Chlamydia
T02493,ctri,Chlamydia trachomatis IU824,Prokaryotes,Prokaryotes;Bacteria;Chlamydiota;Chlamydia
T02540,ctra,Chlamydia trachomatis IU888,Prokaryotes,Prokaryotes;Bacteria;Chlamydiota;Chlamydia
T02565,ctrh,Chlamydia trachomatis Ia/SotonIa1,Prokaryotes,Prokaryotes;Bacteria;Chlamydiota;Chlamydia
T02566,ctrj,Chlamydia trachomatis Ia/SotonIa3,Prokaryotes,Prokaryotes;Bacteria;Chlamydiota;Chlamydia
T02546,ctrk,Chlamydia trachomatis K/SotonK1,Prokaryotes,Prokaryotes;Bacteria;Chlamydiota;Chlamydia
T02762,ctjt,Chlamydia trachomatis J/6276tet1,Prokaryotes,Prokaryotes;Bacteria;Chlamydiota;Chlamydia
T02763,ctcf,Chlamydia trachomatis RC-F/69,Prokaryotes,Prokaryotes;Bacteria;Chlamydiota;Chlamydia
T02764,ctfs,Chlamydia trachomatis RC-F(s)/342,Prokaryotes,Prokaryotes;Bacteria;Chlamydiota;Chlamydia
T02765,cthf,Chlamydia trachomatis RC-F(s)/852,Prokaryotes,Prokaryotes;Bacteria;Chlamydiota;Chlamydia
T02766,ctcj,Chlamydia trachomatis RC-J/943,Prokaryotes,Prokaryotes;Bacteria;Chlamydiota;Chlamydia
T02767,cthj,Chlamydia trachomatis RC-J/953,Prokaryotes,Prokaryotes;Bacteria;Chlamydiota;Chlamydia
T02768,ctmj,Chlamydia trachomatis RC-J/966,Prokaryotes,Prokaryotes;Bacteria;Chlamydiota;Chlamydia
T02769,cttj,Chlamydia trachomatis RC-J/971,Prokaryotes,Prokaryotes;Bacteria;Chlamydiota;Chlamydia
T02770,ctjs,Chlamydia trachomatis RC-J(s)/122,Prokaryotes,Prokaryotes;Bacteria;Chlamydiota;Chlamydia
T02771,ctrc,Chlamydia trachomatis RC-L2/55,Prokaryotes,Prokaryotes;Bacteria;Chlamydiota;Chlamydia
T02772,ctrw,Chlamydia trachomatis RC-L2(s)/3,Prokaryotes,Prokaryotes;Bacteria;Chlamydiota;Chlamydia
T02773,ctry,Chlamydia trachomatis RC-L2(s)/46,Prokaryotes,Prokaryotes;Bacteria;Chlamydiota;Chlamydia
T02966,ctct,Chlamydia trachomatis C/TW-3,Prokaryotes,Prokaryotes;Bacteria;Chlamydiota;Chlamydia
